python_expression,natural_language
(25 * 12 + 36 - 32) * 2,"multiply 25 by 12, then add 36, then subtract 32, then multiply that by 2."
(25 * 12 + 36 - 32) - 46,"multiply 25 by 12, then add 36, then subtract 32, then subtract 46."
(25 * 12 + 36 - 32) * (8 * 10),"multiply 25 by 12, then add 36, then subtract 32, then multiply that by the product of 8 and 10."
(25 * 12 + 36 - 32) - (35 + 17),"multiply 25 by 12, then add 36, then subtract 32, then subtract the sum of 35 and 17."
(25 * 12 + 36 - 32) + (45 + 39),"multiply 25 by 12, then add 36, then subtract 32, then add the sum of 45 and 39."
(25 * 12 + 36 - 32) - (11 * 6),"multiply 25 by 12, then add 36, then subtract 32, then subtract the product of 11 and 6."
(8 + 18) + (39 * 4) - 21,"add 8 and 18, multiply 39 by 4, add the results, then subtract 21."
((8 + 18) + (39 * 4) - 21) * (17 + 13),"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then multiply that by the sum of 17 and 13."
((8 + 18) + (39 * 4) - 21) - 22,"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then subtract 22."
((8 + 18) + (39 * 4) - 21) + (9 - 33),"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then add the difference of 9 and 33)."
((8 + 18) + (39 * 4) - 21) + (42 - 23),"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then add the difference of 42 and 23)."
((8 + 18) + (39 * 4) - 21) + (17 + 3),"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then add the sum of 17 and 3."
((8 + 18) + (39 * 4) - 21) + (10 + 5 + 24),"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then add the sum of 10, 5, and 24."
((8 + 18) + (39 * 4) - 21) + (25 + 12),"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then add the sum of 25 and 12."
((8 + 18) + (39 * 4) - 21) + (8 * 2),"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then add the product of 8 and 2."
((8 + 18) + (39 * 4) - 21) - 11,"add 8 and 18, multiply 39 by 4, add the results, then subtract 21, then subtract 11."
(35 + 32) * 8 - (22 + 22),"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22."
((35 + 32) * 8 - (22 + 22)) + (9 + 3 + 28),"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then add the sum of 9, 3, and 28."
((35 + 32) * 8 - (22 + 22)) + (42 - 36),"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then add the difference of 42 and 36)."
((35 + 32) * 8 - (22 + 22)) + (45 - 6),"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then add the difference of 45 and 6)."
((35 + 32) * 8 - (22 + 22)) + 9,"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then add 9."
((35 + 32) * 8 - (22 + 22)) - (14 - 40),"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then subtract the difference of 14 and 40."
((35 + 32) * 8 - (22 + 22)) + (9 - 27),"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then add the difference of 9 and 27)."
((35 + 32) * 8 - (22 + 22)) - 25,"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then subtract 25."
((35 + 32) * 8 - (22 + 22)) - 4,"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then subtract 4."
((35 + 32) * 8 - (22 + 22)) + (3 - 14),"add 35 and 32, multiply that by 8, then subtract the sum of 22 and 22, then add the difference of 3 and 14)."
(39 + 6) * 40 - (2 + 20),"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20."
((39 + 6) * 40 - (2 + 20)) * 3,"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then multiply that by 3."
((39 + 6) * 40 - (2 + 20)) * (8 + 3),"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then multiply that by the sum of 8 and 3."
((39 + 6) * 40 - (2 + 20)) - (3 - 36),"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then subtract the difference of 3 and 36."
((39 + 6) * 40 - (2 + 20)) - (11 * 3),"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then subtract the product of 11 and 3."
((39 + 6) * 40 - (2 + 20)) - (6 + 16),"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then subtract the sum of 6 and 16."
((39 + 6) * 40 - (2 + 20)) - 43,"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then subtract 43."
((39 + 6) * 40 - (2 + 20)) - (24 + 29),"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then subtract the sum of 24 and 29."
((39 + 6) * 40 - (2 + 20)) * 2,"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then multiply that by 2."
((39 + 6) * 40 - (2 + 20)) * (9 * 2),"add 39 and 6, multiply that by 40, then subtract the sum of 2 and 20, then multiply that by the product of 9 and 2."
(29 * 40) - (5 + 44),"multiply 29 by 40, then subtract the sum of 5 and 44."
((29 * 40) - (5 + 44)) + (8 - 46),"multiply 29 by 40, then subtract the sum of 5 and 44, then add the difference of 8 and 46)."
((29 * 40) - (5 + 44)) - (5 * 6),"multiply 29 by 40, then subtract the sum of 5 and 44, then subtract the product of 5 and 6."
((29 * 40) - (5 + 44)) + (9 * 11),"multiply 29 by 40, then subtract the sum of 5 and 44, then add the product of 9 and 11."
((29 * 40) - (5 + 44)) * 12,"multiply 29 by 40, then subtract the sum of 5 and 44, then multiply that by 12."
((29 * 40) - (5 + 44)) + (5 + 45),"multiply 29 by 40, then subtract the sum of 5 and 44, then add the sum of 5 and 45."
((29 * 40) - (5 + 44)) * 4,"multiply 29 by 40, then subtract the sum of 5 and 44, then multiply that by 4."
((29 * 40) - (5 + 44)) + (10 * 6),"multiply 29 by 40, then subtract the sum of 5 and 44, then add the product of 10 and 6."
((29 * 40) - (5 + 44)) - 40,"multiply 29 by 40, then subtract the sum of 5 and 44, then subtract 40."
((29 * 40) - (5 + 44)) * (7 + 2),"multiply 29 by 40, then subtract the sum of 5 and 44, then multiply that by the sum of 7 and 2."
(17 + 37) * (30 + 47) - 38,"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38."
((17 + 37) * (30 + 47) - 38) * (15 + 20),"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then multiply that by the sum of 15 and 20."
((17 + 37) * (30 + 47) - 38) * (6 * 7),"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then multiply that by the product of 6 and 7."
((17 + 37) * (30 + 47) - 38) - (12 * 6),"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then subtract the product of 12 and 6."
((17 + 37) * (30 + 47) - 38) * 10,"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then multiply that by 10."
((17 + 37) * (30 + 47) - 38) + (2 + 16 + 25),"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then add the sum of 2, 16, and 25."
((17 + 37) * (30 + 47) - 38) - 23,"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then subtract 23."
((17 + 37) * (30 + 47) - 38) + (3 + 19 + 10),"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then add the sum of 3, 19, and 10."
((17 + 37) * (30 + 47) - 38) * 5,"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then multiply that by 5."
((17 + 37) * (30 + 47) - 38) - (17 + 13 + 21),"add 17 and 37, add 30 and 47, multiply the sums, then subtract 38, then subtract the sum of 17, 13, and 21."
((34 + 29 + 28) - 35) * 3,"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3."
(((34 + 29 + 28) - 35) * 3) - (45 + 24),"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then subtract the sum of 45 and 24."
(((34 + 29 + 28) - 35) * 3) + (42 - 41),"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then add the difference of 42 and 41)."
(((34 + 29 + 28) - 35) * 3) * 6,"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then multiply that by 6."
(((34 + 29 + 28) - 35) * 3) - (8 * 12),"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then subtract the product of 8 and 12."
(((34 + 29 + 28) - 35) * 3) - 2,"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then subtract 2."
(((34 + 29 + 28) - 35) * 3) + (14 - 46),"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then add the difference of 14 and 46)."
(((34 + 29 + 28) - 35) * 3) + (4 * 5),"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then add the product of 4 and 5."
(((34 + 29 + 28) - 35) * 3) + (42 + 30),"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then add the sum of 42 and 30."
(((34 + 29 + 28) - 35) * 3) - (12 * 11),"add 34, 29, and 28, subtract 35 from that sum, then multiply the result by 3, then subtract the product of 12 and 11."
(21 * 27 * 27) + 11,"multiply 21, 27, and 27 together, then add 11."
((21 * 27 * 27) + 11) - (2 * 8),"multiply 21, 27, and 27 together, then add 11, then subtract the product of 2 and 8."
((21 * 27 * 27) + 11) + (20 + 15 + 26),"multiply 21, 27, and 27 together, then add 11, then add the sum of 20, 15, and 26."
((21 * 27 * 27) + 11) - (47 - 4),"multiply 21, 27, and 27 together, then add 11, then subtract the difference of 47 and 4."
((21 * 27 * 27) + 11) * 9,"multiply 21, 27, and 27 together, then add 11, then multiply that by 9."
((21 * 27 * 27) + 11) - 18,"multiply 21, 27, and 27 together, then add 11, then subtract 18."
((21 * 27 * 27) + 11) + (7 + 16 + 18),"multiply 21, 27, and 27 together, then add 11, then add the sum of 7, 16, and 18."
((21 * 27 * 27) + 11) * (19 + 2),"multiply 21, 27, and 27 together, then add 11, then multiply that by the sum of 19 and 2."
((21 * 27 * 27) + 11) + 33,"multiply 21, 27, and 27 together, then add 11, then add 33."
((21 * 27 * 27) + 11) + (6 * 9),"multiply 21, 27, and 27 together, then add 11, then add the product of 6 and 9."
(49 * (15 + 18)) - 13,"add 15 and 18, multiply that by 49, then subtract 13."
((49 * (15 + 18)) - 13) + 28,"add 15 and 18, multiply that by 49, then subtract 13, then add 28."
((49 * (15 + 18)) - 13) + (37 + 42),"add 15 and 18, multiply that by 49, then subtract 13, then add the sum of 37 and 42."
((49 * (15 + 18)) - 13) - 48,"add 15 and 18, multiply that by 49, then subtract 13, then subtract 48."
((49 * (15 + 18)) - 13) * 2,"add 15 and 18, multiply that by 49, then subtract 13, then multiply that by 2."
((49 * (15 + 18)) - 13) - (12 * 8),"add 15 and 18, multiply that by 49, then subtract 13, then subtract the product of 12 and 8."
((49 * (15 + 18)) - 13) + (2 * 5),"add 15 and 18, multiply that by 49, then subtract 13, then add the product of 2 and 5."
((49 * (15 + 18)) - 13) + 47,"add 15 and 18, multiply that by 49, then subtract 13, then add 47."
((49 * (15 + 18)) - 13) - (2 + 28 + 23),"add 15 and 18, multiply that by 49, then subtract 13, then subtract the sum of 2, 28, and 23."
((49 * (15 + 18)) - 13) * (3 * 5),"add 15 and 18, multiply that by 49, then subtract 13, then multiply that by the product of 3 and 5."
28 * 29 * 20 - 11 + 22,"multiply 28, 29, and 20 together, then subtract 11, then add 22."
(28 * 29 * 20 - 11 + 22) - 40,"multiply 28, 29, and 20 together, then subtract 11, then add 22, then subtract 40."
(28 * 29 * 20 - 11 + 22) - (14 - 21),"multiply 28, 29, and 20 together, then subtract 11, then add 22, then subtract the difference of 14 and 21."
(28 * 29 * 20 - 11 + 22) - (46 + 13),"multiply 28, 29, and 20 together, then subtract 11, then add 22, then subtract the sum of 46 and 13."
(28 * 29 * 20 - 11 + 22) - 32,"multiply 28, 29, and 20 together, then subtract 11, then add 22, then subtract 32."
(28 * 29 * 20 - 11 + 22) - (12 * 3),"multiply 28, 29, and 20 together, then subtract 11, then add 22, then subtract the product of 12 and 3."
(28 * 29 * 20 - 11 + 22) + 19,"multiply 28, 29, and 20 together, then subtract 11, then add 22, then add 19."
(28 * 29 * 20 - 11 + 22) * (5 + 10),"multiply 28, 29, and 20 together, then subtract 11, then add 22, then multiply that by the sum of 5 and 10."
(28 * 29 * 20 - 11 + 22) * 12,"multiply 28, 29, and 20 together, then subtract 11, then add 22, then multiply that by 12."
(28 * 29 * 20 - 11 + 22) * (7 * 3),"multiply 28, 29, and 20 together, then subtract 11, then add 22, then multiply that by the product of 7 and 3."
(45 + (21 * 14)) - 18,"multiply 21 by 14, add 45 to that, then subtract 18."
((45 + (21 * 14)) - 18) * 6,"multiply 21 by 14, add 45 to that, then subtract 18, then multiply that by 6."
((45 + (21 * 14)) - 18) + 4,"multiply 21 by 14, add 45 to that, then subtract 18, then add 4."
((45 + (21 * 14)) - 18) + 15,"multiply 21 by 14, add 45 to that, then subtract 18, then add 15."
((45 + (21 * 14)) - 18) - (18 - 37),"multiply 21 by 14, add 45 to that, then subtract 18, then subtract the difference of 18 and 37."
((45 + (21 * 14)) - 18) + (7 * 11),"multiply 21 by 14, add 45 to that, then subtract 18, then add the product of 7 and 11."
((45 + (21 * 14)) - 18) + 49,"multiply 21 by 14, add 45 to that, then subtract 18, then add 49."
((45 + (21 * 14)) - 18) + (21 + 22 + 17),"multiply 21 by 14, add 45 to that, then subtract 18, then add the sum of 21, 22, and 17."
((45 + (21 * 14)) - 18) + (22 + 30 + 16),"multiply 21 by 14, add 45 to that, then subtract 18, then add the sum of 22, 30, and 16."
((45 + (21 * 14)) - 18) - (29 - 25),"multiply 21 by 14, add 45 to that, then subtract 18, then subtract the difference of 29 and 25."
(39 * 47) - (40 + 24),"multiply 39 by 47, then subtract the sum of 40 and 24."
((39 * 47) - (40 + 24)) * (4 * 5),"multiply 39 by 47, then subtract the sum of 40 and 24, then multiply that by the product of 4 and 5."
((39 * 47) - (40 + 24)) - (11 * 6),"multiply 39 by 47, then subtract the sum of 40 and 24, then subtract the product of 11 and 6."
((39 * 47) - (40 + 24)) + 10,"multiply 39 by 47, then subtract the sum of 40 and 24, then add 10."
((39 * 47) - (40 + 24)) * 6,"multiply 39 by 47, then subtract the sum of 40 and 24, then multiply that by 6."
((39 * 47) - (40 + 24)) + (7 * 7),"multiply 39 by 47, then subtract the sum of 40 and 24, then add the product of 7 and 7."
((39 * 47) - (40 + 24)) + (4 + 12 + 26),"multiply 39 by 47, then subtract the sum of 40 and 24, then add the sum of 4, 12, and 26."
((39 * 47) - (40 + 24)) + (4 - 4),"multiply 39 by 47, then subtract the sum of 40 and 24, then add the difference of 4 and 4)."
((39 * 47) - (40 + 24)) - (12 + 11),"multiply 39 by 47, then subtract the sum of 40 and 24, then subtract the sum of 12 and 11."
((39 * 47) - (40 + 24)) + (20 - 25),"multiply 39 by 47, then subtract the sum of 40 and 24, then add the difference of 20 and 25)."
(5 * 5 * 10) + 21,"multiply 5, 5, and 10 together, then add 21."
((5 * 5 * 10) + 21) - (10 * 4),"multiply 5, 5, and 10 together, then add 21, then subtract the product of 10 and 4."
((5 * 5 * 10) + 21) - (9 + 32),"multiply 5, 5, and 10 together, then add 21, then subtract the sum of 9 and 32."
((5 * 5 * 10) + 21) + (9 + 3 + 11),"multiply 5, 5, and 10 together, then add 21, then add the sum of 9, 3, and 11."
((5 * 5 * 10) + 21) * 10,"multiply 5, 5, and 10 together, then add 21, then multiply that by 10."
((5 * 5 * 10) + 21) + (4 + 11 + 14),"multiply 5, 5, and 10 together, then add 21, then add the sum of 4, 11, and 14."
((5 * 5 * 10) + 21) + (6 * 8),"multiply 5, 5, and 10 together, then add 21, then add the product of 6 and 8."
((5 * 5 * 10) + 21) - 8,"multiply 5, 5, and 10 together, then add 21, then subtract 8."
((5 * 5 * 10) + 21) * (9 * 9),"multiply 5, 5, and 10 together, then add 21, then multiply that by the product of 9 and 9."
((5 * 5 * 10) + 21) + (7 * 3),"multiply 5, 5, and 10 together, then add 21, then add the product of 7 and 3."
37 * (30 + 17 + 9) - 5,"add 30, 17, and 9, multiply that by 37, then subtract 5."
(37 * (30 + 17 + 9) - 5) * (5 + 17),"add 30, 17, and 9, multiply that by 37, then subtract 5, then multiply that by the sum of 5 and 17."
(37 * (30 + 17 + 9) - 5) - (2 * 6),"add 30, 17, and 9, multiply that by 37, then subtract 5, then subtract the product of 2 and 6."
(37 * (30 + 17 + 9) - 5) + (12 * 4),"add 30, 17, and 9, multiply that by 37, then subtract 5, then add the product of 12 and 4."
(37 * (30 + 17 + 9) - 5) * 12,"add 30, 17, and 9, multiply that by 37, then subtract 5, then multiply that by 12."
(37 * (30 + 17 + 9) - 5) + (26 - 42),"add 30, 17, and 9, multiply that by 37, then subtract 5, then add the difference of 26 and 42)."
(37 * (30 + 17 + 9) - 5) - 6,"add 30, 17, and 9, multiply that by 37, then subtract 5, then subtract 6."
(37 * (30 + 17 + 9) - 5) - (4 + 8 + 25),"add 30, 17, and 9, multiply that by 37, then subtract 5, then subtract the sum of 4, 8, and 25."
(37 * (30 + 17 + 9) - 5) + (5 + 26),"add 30, 17, and 9, multiply that by 37, then subtract 5, then add the sum of 5 and 26."
(37 * (30 + 17 + 9) - 5) + 8,"add 30, 17, and 9, multiply that by 37, then subtract 5, then add 8."
((4 - 16) * (44 - 8)),"take 4 minus 16, take 44 minus 8, then multiply the two results."
(((4 - 16) * (44 - 8))) - (10 * 10),"take 4 minus 16, take 44 minus 8, then multiply the two results, then subtract the product of 10 and 10."
(((4 - 16) * (44 - 8))) - (30 + 33),"take 4 minus 16, take 44 minus 8, then multiply the two results, then subtract the sum of 30 and 33."
(((4 - 16) * (44 - 8))) - (20 + 24 + 23),"take 4 minus 16, take 44 minus 8, then multiply the two results, then subtract the sum of 20, 24, and 23."
(((4 - 16) * (44 - 8))) + (29 + 7),"take 4 minus 16, take 44 minus 8, then multiply the two results, then add the sum of 29 and 7."
(((4 - 16) * (44 - 8))) + (5 * 6),"take 4 minus 16, take 44 minus 8, then multiply the two results, then add the product of 5 and 6."
(((4 - 16) * (44 - 8))) + (12 - 29),"take 4 minus 16, take 44 minus 8, then multiply the two results, then add the difference of 12 and 29)."
(((4 - 16) * (44 - 8))) + (24 + 9),"take 4 minus 16, take 44 minus 8, then multiply the two results, then add the sum of 24 and 9."
(((4 - 16) * (44 - 8))) - 46,"take 4 minus 16, take 44 minus 8, then multiply the two results, then subtract 46."
(((4 - 16) * (44 - 8))) + 35,"take 4 minus 16, take 44 minus 8, then multiply the two results, then add 35."
((19 + 12) * (4 + 7)),"add 19 and 12, add 4 and 7, then multiply the two results."
(((19 + 12) * (4 + 7))) * (8 + 5),"add 19 and 12, add 4 and 7, then multiply the two results, then multiply that by the sum of 8 and 5."
(((19 + 12) * (4 + 7))) * (14 + 10),"add 19 and 12, add 4 and 7, then multiply the two results, then multiply that by the sum of 14 and 10."
(((19 + 12) * (4 + 7))) + (43 + 4),"add 19 and 12, add 4 and 7, then multiply the two results, then add the sum of 43 and 4."
(((19 + 12) * (4 + 7))) - (8 + 21 + 6),"add 19 and 12, add 4 and 7, then multiply the two results, then subtract the sum of 8, 21, and 6."
(((19 + 12) * (4 + 7))) - 14,"add 19 and 12, add 4 and 7, then multiply the two results, then subtract 14."
(((19 + 12) * (4 + 7))) * (14 + 13),"add 19 and 12, add 4 and 7, then multiply the two results, then multiply that by the sum of 14 and 13."
(((19 + 12) * (4 + 7))) * (4 * 3),"add 19 and 12, add 4 and 7, then multiply the two results, then multiply that by the product of 4 and 3."
(((19 + 12) * (4 + 7))) + (33 - 11),"add 19 and 12, add 4 and 7, then multiply the two results, then add the difference of 33 and 11)."
(((19 + 12) * (4 + 7))) + (27 - 42),"add 19 and 12, add 4 and 7, then multiply the two results, then add the difference of 27 and 42)."
16 + 21 + 56 + 30 + 39,"add 16, 21, 56, 30, and 39."
(16 + 21 + 56 + 30 + 39) - (29 - 35),"add 16, 21, 56, 30, and 39, then subtract the difference of 29 and 35."
(16 + 21 + 56 + 30 + 39) * (12 + 17),"add 16, 21, 56, 30, and 39, then multiply that by the sum of 12 and 17."
(16 + 21 + 56 + 30 + 39) * (8 + 19),"add 16, 21, 56, 30, and 39, then multiply that by the sum of 8 and 19."
(16 + 21 + 56 + 30 + 39) + (16 - 2),"add 16, 21, 56, 30, and 39, then add the difference of 16 and 2)."
(16 + 21 + 56 + 30 + 39) + (7 * 7),"add 16, 21, 56, 30, and 39, then add the product of 7 and 7."
(16 + 21 + 56 + 30 + 39) + 35,"add 16, 21, 56, 30, and 39, then add 35."
(16 + 21 + 56 + 30 + 39) * 6,"add 16, 21, 56, 30, and 39, then multiply that by 6."
(16 + 21 + 56 + 30 + 39) + (11 - 26),"add 16, 21, 56, 30, and 39, then add the difference of 11 and 26)."
(16 + 21 + 56 + 30 + 39) + (20 - 47),"add 16, 21, 56, 30, and 39, then add the difference of 20 and 47)."
(18 + 26) * (11 + 5) - 7,"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7."
((18 + 26) * (11 + 5) - 7) + (27 + 17 + 4),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then add the sum of 27, 17, and 4."
((18 + 26) * (11 + 5) - 7) - (4 + 18 + 29),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then subtract the sum of 4, 18, and 29."
((18 + 26) * (11 + 5) - 7) + 6,"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then add 6."
((18 + 26) * (11 + 5) - 7) + (10 + 4),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then add the sum of 10 and 4."
((18 + 26) * (11 + 5) - 7) - (2 + 50),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then subtract the sum of 2 and 50."
((18 + 26) * (11 + 5) - 7) * (12 + 7),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then multiply that by the sum of 12 and 7."
((18 + 26) * (11 + 5) - 7) - (6 + 29 + 22),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then subtract the sum of 6, 29, and 22."
((18 + 26) * (11 + 5) - 7) * (13 + 18),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then multiply that by the sum of 13 and 18."
((18 + 26) * (11 + 5) - 7) - (10 * 10),"add 18 and 26, add 11 and 5, multiply the sums, then subtract 7, then subtract the product of 10 and 10."
